               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.023859,            0.017321,           0.0022278,             0.82814,             0.59076,             0.66437,             0.45816,            0.031404,            0.015303,             0.01041,            0.008944,            0.008944,            0.008944
                  66,            0.023214,            0.016763,           0.0022776,             0.77872,             0.63307,             0.71164,             0.49158,            0.030397,            0.014678,            0.011126,           0.0089275,           0.0089275,           0.0089275
                  67,            0.022889,            0.016597,           0.0021663,             0.76108,              0.6869,             0.73573,             0.48954,            0.031696,            0.014758,            0.010156,            0.008911,            0.008911,            0.008911
                  68,            0.022675,            0.016754,           0.0025042,             0.80965,             0.65715,             0.75224,             0.51168,             0.03059,            0.015134,            0.012222,           0.0088945,           0.0088945,           0.0088945
                  69,            0.022987,            0.016868,           0.0020514,             0.82061,             0.67513,             0.77373,             0.52804,            0.031789,            0.014796,            0.008757,            0.008878,            0.008878,            0.008878
                  70,            0.023246,            0.016763,            0.002066,              0.7676,             0.67885,             0.72721,             0.48078,            0.031992,             0.01438,           0.0087833,           0.0088615,           0.0088615,           0.0088615
                  71,            0.022974,            0.016379,           0.0020594,             0.74039,             0.71726,             0.72761,             0.49663,            0.032505,            0.015635,            0.010671,            0.008845,            0.008845,            0.008845
                  72,             0.02314,            0.016877,           0.0021636,             0.67624,             0.77239,             0.73667,             0.52221,            0.033033,            0.015271,            0.012518,           0.0088285,           0.0088285,           0.0088285
                  73,             0.02322,            0.016815,           0.0019692,             0.77237,             0.69714,             0.75473,             0.50044,            0.033114,            0.014515,             0.01039,            0.008812,            0.008812,            0.008812
                  74,            0.022287,            0.016625,           0.0022319,             0.83362,             0.65384,             0.72817,             0.50651,            0.032168,            0.015059,             0.01208,           0.0087955,           0.0087955,           0.0087955
                  75,            0.022537,            0.016503,           0.0020107,              0.7101,             0.73547,              0.7433,             0.51029,            0.031474,            0.015441,           0.0095955,            0.008779,            0.008779,            0.008779
                  76,            0.022433,            0.016368,           0.0022397,             0.68131,             0.69671,             0.72136,             0.50269,            0.032135,            0.014462,             0.01312,           0.0087625,           0.0087625,           0.0087625
                  77,            0.022578,            0.016036,           0.0020629,             0.73454,             0.71069,             0.73558,             0.49636,            0.031545,             0.01513,            0.011924,            0.008746,            0.008746,            0.008746
                  78,             0.02237,            0.016408,           0.0021246,             0.63682,             0.77245,             0.72644,             0.49018,            0.031605,            0.014986,            0.010904,           0.0087295,           0.0087295,           0.0087295
